date,tensorflow,pytorch,keras
2015-03-28,0,0,92
2015-03-29,0,0,356
2015-03-30,0,0,459
2015-03-31,0,0,494
2015-04-01,0,0,508
2015-04-02,0,0,517
2015-04-03,0,0,526
2015-04-04,0,0,533
2015-04-05,0,0,542
2015-04-06,0,0,550
2015-04-07,0,0,553
2015-04-08,0,0,555
2015-04-09,0,0,558
2015-04-10,0,0,564
2015-04-11,0,0,568
2015-04-12,0,0,571
2015-04-13,0,0,573
2015-04-14,0,0,576
2015-04-15,0,0,578
2015-04-16,0,0,580
2015-04-17,0,0,582
2015-04-18,0,0,583
2015-04-19,0,0,585
2015-04-20,0,0,590
2015-04-21,0,0,596
2015-04-22,0,0,597
2015-04-23,0,0,613
2015-04-24,0,0,630
2015-04-25,0,0,643
2015-04-26,0,0,650
2015-04-27,0,0,660
2015-04-28,0,0,672
2015-04-29,0,0,676
2015-04-30,0,0,686
2015-05-01,0,0,691
2015-05-02,0,0,692
2015-05-03,0,0,700
2015-05-04,0,0,712
2015-05-05,0,0,725
2015-05-06,0,0,748
2015-05-07,0,0,801
2015-05-08,0,0,823
2015-05-09,0,0,837
2015-05-10,0,0,853
2015-05-11,0,0,866
2015-05-12,0,0,1360
2015-05-13,0,0,1448
2015-05-14,0,0,1496
2015-05-15,0,0,1535
2015-05-16,0,0,1548
2015-05-17,0,0,1571
2015-05-18,0,0,1595
2015-05-19,0,0,1609
2015-05-20,0,0,1622
2015-05-21,0,0,1635
2015-05-22,0,0,1655
2015-05-23,0,0,1661
2015-05-24,0,0,1670
2015-05-25,0,0,1682
2015-05-26,0,0,1685
2015-05-27,0,0,1693
2015-05-28,0,0,1699
2015-05-29,0,0,1706
2015-05-30,0,0,1710
2015-05-31,0,0,1713
2015-06-01,0,0,1719
2015-06-02,0,0,1724
2015-06-03,0,0,1728
2015-06-04,0,0,1733
2015-06-05,0,0,1739
2015-06-06,0,0,1746
2015-06-07,0,0,1750
2015-06-08,0,0,1757
2015-06-09,0,0,1764
2015-06-10,0,0,1771
2015-06-11,0,0,1783
2015-06-12,0,0,1789
2015-06-13,0,0,1792
2015-06-14,0,0,1798
2015-06-15,0,0,1804
2015-06-16,0,0,1814
2015-06-17,0,0,1826
2015-06-18,0,0,1832
2015-06-19,0,0,1845
2015-06-20,0,0,1848
2015-06-21,0,0,1853
2015-06-22,0,0,1857
2015-06-23,0,0,1862
2015-06-24,0,0,1865
2015-06-25,0,0,1876
2015-06-26,0,0,1886
2015-06-27,0,0,1892
2015-06-28,0,0,1895
2015-06-29,0,0,1903
2015-06-30,0,0,1908
2015-07-01,0,0,1912
2015-07-02,0,0,1913
2015-07-03,0,0,1916
2015-07-04,0,0,1921
2015-07-05,0,0,1924
2015-07-06,0,0,1927
2015-07-07,0,0,1934
2015-07-08,0,0,1940
2015-07-09,0,0,1946
2015-07-10,0,0,1951
2015-07-11,0,0,1955
2015-07-12,0,0,1957
2015-07-13,0,0,1966
2015-07-14,0,0,1973
2015-07-15,0,0,1983
2015-07-16,0,0,1990
2015-07-17,0,0,1997
2015-07-18,0,0,2000
2015-07-19,0,0,2004
2015-07-20,0,0,2009
2015-07-21,0,0,2010
2015-07-22,0,0,2017
2015-07-23,0,0,2030
2015-07-24,0,0,2044
2015-07-25,0,0,2049
2015-07-26,0,0,2053
2015-07-27,0,0,2059
2015-07-28,0,0,2063
2015-07-29,0,0,2073
2015-07-30,0,0,2078
2015-07-31,0,0,2083
2015-08-01,0,0,2087
2015-08-02,0,0,2090
2015-08-03,0,0,2101
2015-08-04,0,0,2115
2015-08-05,0,0,2136
2015-08-06,0,0,2147
2015-08-07,0,0,2159
2015-08-08,0,0,2170
2015-08-09,0,0,2179
2015-08-10,0,0,2187
2015-08-11,0,0,2191
2015-08-12,0,0,2197
2015-08-13,0,0,2203
2015-08-14,0,0,2207
2015-08-15,0,0,2211
2015-08-16,0,0,2219
2015-08-17,0,0,2229
2015-08-18,0,0,2241
2015-08-19,0,0,2251
2015-08-20,0,0,2262
2015-08-21,0,0,2269
2015-08-22,0,0,2273
2015-08-23,0,0,2279
2015-08-24,0,0,2286
2015-08-25,0,0,2296
2015-08-26,0,0,2305
2015-08-27,0,0,2308
2015-08-28,0,0,2315
2015-08-29,0,0,2316
2015-08-30,0,0,2320
2015-08-31,0,0,2328
2015-09-01,0,0,2332
2015-09-02,0,0,2339
2015-09-03,0,0,2340
